nohup: 입력 무시
2025-08-11 03:54:14.924+09:00 | main | INFO  | Besu | Starting Besu
2025-08-11 03:54:15.692+09:00 | main | INFO  | Besu | jemalloc library not found, memory usage may be reduced by installing it
2025-08-11 03:54:15.821+09:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.10.1                                                                             #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 2025                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ETH,NET,WEB3,IBFT                                                                 #
# RPC HTTP port: 8545                                                                              #
# Using LAYERED transaction pool implementation                                                    #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 5.80 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.39                                                                                      #
# Total memory: 23.22 GB                                                                           #
# CPU cores: 8                                                                                     #
#                                                                                                  #
# Plugins:                                                                                         #
# TOTAL = 0 of 0 plugins successfully loaded                                                       #
# from /opt/besu/plugins                                                                           #
#                                                                                                  #
####################################################################################################
2025-08-11 03:54:15.823+09:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-08-11 03:54:15.824+09:00 | main | INFO  | Besu | Security Module: localfile
2025-08-11 03:54:15.892+09:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-08-11 03:54:15.944+09:00 | main | INFO  | Besu | Using the native implementation of modexp
2025-08-11 03:54:15.945+09:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-08-11 03:54:15.955+09:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-08-11 03:54:16.170+09:00 | main | INFO  | KeyPairUtil | Loaded public key 0xf7e5b955e7ce046c6c55375499dd12162b4996007e88c3ed77fab19638c2664103592b38c2371f963cfc9b89df072d44ad6547494e5dfc84556b51969cc7955c from /home/yelin/Mutual-Cloud/network/node-1/data/key
2025-08-11 03:54:16.355+09:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [London:0]
2025-08-11 03:54:16.389+09:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /home/yelin/Mutual-Cloud/network/node-1/data
2025-08-11 03:54:16.457+09:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database detected at /home/yelin/Mutual-Cloud/network/node-1/data. Version 1. Compacting database...
2025-08-11 03:54:16.942+09:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2025-08-11 03:54:16.976+09:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2025-08-11 03:54:17.017+09:00 | main | INFO  | IbftBesuControllerBuilder | Starting IBFT mining coordinator
2025-08-11 03:54:17.376+09:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2025-08-11 03:54:17.514+09:00 | main | INFO  | Runner | Starting external services ... 
